# year, no_of_titles, sub_style
,3.00,"Instrumental Rock"
,1.00,"Noise-Rock"
,1.00,"Punk"
,1.00,"Christian Metal"
,4.00,"Rock &amp; Roll"
,1.00,"Alternative Pop/Rock"
,1.00,"House"
,3.00,"New Wave"
,2.00,"Garage Rock"
,1.00,"Lo-Fi"
,1.00,"Disco"
,1.00,"Swamp Pop"
,2.00,"Hardcore Punk"
,1.00,"Psychedelic"
,1.00,"British Folk-Rock"
,1.00,"Folk-Rock"
,1.00,"French Pop"
,1.00,"Experimental Rock"
,1.00,"Neo-Classical Metal"
,1.00,"New Romantic"
,1.00,"Space Rock"
,2.00,"Indie Electronic"
,1.00,"Alternative Dance"
,1.00,"Hard Rock"
,1.00,"British Invasion"
,1.00,"Garage Punk"
,1.00,"Power Pop"
,2.00,"Hi-NRG"
,1.00,"Prog-Rock/Art Rock"
,1.00,"Club/Dance"
,1.00,"British Metal"
,1.00,"Avant-Prog"
,1.00,"Pop"
,9.00,"Rockabilly"
,2.00,"Christian Rock"
,4.00,"Girl Group"
,2.00,"Surf"
,1.00,"Pop/Rock"
,4.00,"Indie Pop"
,1.00,"Queercore"
,2.00,"Heavy Metal"
"1951",2.00,"Rock &amp; Roll"
"1953",1.00,"Rock &amp; Roll"
"1956",2.00,"Pop"
"1956",2.00,"Pop/Rock"
"1956",2.00,"Rockabilly"
"1956",4.00,"Rock &amp; Roll"
"1957",2.00,"Rock &amp; Roll"
"1957",1.00,"French Pop"
"1957",1.00,"Teen Idol"
"1958",2.00,"Rock &amp; Roll"
"1958",1.00,"Instrumental Rock"
"1958",1.00,"French Pop"
"1959",1.00,"Early British Pop/Rock"
"1959",1.00,"Cocktail"
"1959",1.00,"Folk-Pop"
"1959",1.00,"Rock &amp; Roll"
"1959",1.00,"Garage Rock"
"1960",1.00,"Hot Rod"
"1960",2.00,"Rockabilly"
"1960",1.00,"Folk-Pop"
"1960",3.00,"Rock &amp; Roll"
"1960",1.00,"Brill Building Pop"
"1960",1.00,"Surf"
"1960",1.00,"Obscuro"
"1961",1.00,"Brill Building Pop"
"1961",1.00,"Rockabilly"
"1961",2.00,"Rock &amp; Roll"
"1962",1.00,"British Blues"
"1962",1.00,"Rock &amp; Roll"
"1962",1.00,"Pop/Rock"
"1962",1.00,"Brill Building Pop"
"1962",1.00,"Garage Rock"
"1962",3.00,"Girl Group"
"1962",1.00,"Teen Idol"
"1962",1.00,"Instrumental Rock"
"1962",2.00,"Folk-Pop"
"1963",1.00,"Pop"
"1963",3.00,"Folk-Pop"
"1963",1.00,"British Folk-Rock"
"1963",1.00,"Hot Rod"
"1963",3.00,"Rock &amp; Roll"
"1963",2.00,"British Invasion"
"1963",2.00,"Frat Rock"
"1963",2.00,"Merseybeat"
"1963",2.00,"Instrumental Rock"
"1963",5.00,"Girl Group"
"1963",3.00,"Surf"
"1964",4.00,"British Blues"
"1964",5.00,"Rock &amp; Roll"
"1964",5.00,"Merseybeat"
"1964",3.00,"Folk-Rock"
"1964",1.00,"Pop"
"1964",10.00,"British Invasion"
"1964",6.00,"Blues-Rock"
"1964",1.00,"Hot Rod"
"1964",3.00,"Instrumental Rock"
"1964",3.00,"Folk-Pop"
"1964",2.00,"Girl Group"
"1964",4.00,"Surf"
"1964",2.00,"Garage Rock"
"1965",2.00,"Merseybeat"
"1965",1.00,"Garage Rock"
"1965",3.00,"Blues-Rock"
"1965",1.00,"Freakbeat"
"1965",1.00,"Pop"
"1965",1.00,"Instrumental Rock"
"1965",3.00,"Girl Group"
"1965",14.00,"British Invasion"
"1965",1.00,"Frat Rock"
"1965",2.00,"Surf"
"1965",5.00,"British Blues"
"1965",1.00,"Singer/Songwriter"
"1965",8.00,"Rock &amp; Roll"
"1965",10.00,"Folk-Rock"
"1965",2.00,"Folk-Pop"
"1965",1.00,"Pop/Rock"
"1966",1.00,"Mod"
"1966",1.00,"Freestyle"
"1966",1.00,"Instrumental Rock"
"1966",2.00,"Girl Group"
"1966",7.00,"British Invasion"
"1966",6.00,"Blues-Rock"
"1966",2.00,"Psychedelic Pop"
"1966",3.00,"Detroit Rock"
"1966",1.00,"Proto-Punk"
"1966",4.00,"British Blues"
"1966",1.00,"Album Rock"
"1966",18.00,"Folk-Rock"
"1966",1.00,"Country-Rock"
"1966",8.00,"Sunshine Pop"
"1966",2.00,"Obscuro"
"1966",9.00,"Rock &amp; Roll"
"1966",9.00,"Psychedelic"
"1966",4.00,"Pop/Rock"
"1966",1.00,"Baroque Pop"
"1966",2.00,"Pop"
"1966",2.00,"Folk-Pop"
"1966",2.00,"Singer/Songwriter"
"1966",2.00,"Comedy Rock"
"1966",1.00,"Bubblegum"
"1966",3.00,"British Psychedelia"
"1966",2.00,"Frat Rock"
"1966",1.00,"Merseybeat"
"1966",14.00,"Garage Rock"
"1966",1.00,"Experimental Rock"
"1967",2.00,"Country-Rock"
"1967",1.00,"Detroit Rock"
"1967",5.00,"Rock &amp; Roll"
"1967",5.00,"Bubblegum"
"1967",6.00,"British Invasion"
"1967",4.00,"Album Rock"
"1967",5.00,"Blues-Rock"
"1967",4.00,"Prog-Rock/Art Rock"
"1967",4.00,"Proto-Punk"
"1967",1.00,"Celebrity"
"1967",1.00,"Mod"
"1967",2.00,"Pop"
"1967",1.00,"Brill Building Pop"
"1967",29.00,"Psychedelic"
"1967",8.00,"Pop/Rock"
"1967",3.00,"Experimental Rock"
"1967",7.00,"Psychedelic Pop"
"1967",10.00,"Sunshine Pop"
"1967",2.00,"British Blues"
"1967",3.00,"Instrumental Rock"
"1967",1.00,"Singer/Songwriter"
"1967",3.00,"Hard Rock"
"1967",3.00,"Girl Group"
"1967",1.00,"British Folk-Rock"
"1967",8.00,"British Psychedelia"
"1967",8.00,"Garage Rock"
"1967",17.00,"Folk-Rock"
"1967",4.00,"Baroque Pop"
"1968",6.00,"Country-Rock"
"1968",5.00,"Sunshine Pop"
"1968",4.00,"Acid Rock"
"1968",1.00,"Canterbury Scene"
"1968",4.00,"British Invasion"
"1968",2.00,"Heavy Metal"
"1968",4.00,"Obscuro"
"1968",1.00,"Celebrity"
