# pgid, tier, artist, act_yrs, existence_year, born_form_place, ceased_year, ceased_place, amgid, born_name, is_solo
"09fexqtgld0e","1st","R.E.M.","80s-00s","1980","Athens, GA",,,"P   116437","NULL","0"
"09fixqe5ldje","2nd","Slint","80s, 90s","1987","Louisville, KY","1992",,"P    14287","NULL","0"
"09foxqe5ldse","2nd","Ween","90s, 00s","1984","New Hope, PA",,,"P    14697","NULL","0"
"09foxqy5ldke","3rd","Fabian","50s-70s","Feb 6, 1943","Philadelphia, PA",,,"P    17397",,"1"
"09fqxqe5ldde","3rd","White Zombie","80s, 90s","1985","New York City, NY",,,"P    14717","NULL","0"
"09ftxqw5ldke","3rd","Tom Jones","60s-00s","Jun 7, 1940","Pontypridd, South Wales",,,"P    13357","Thomas John Woodward","1"
"09fyxqw5ldse","2nd","Mercury Rev","90s, 00s",,"Buffalo, NY",,,"P    13667","NULL","0"
"0bfoxqlaldhe","2nd","Dietrich Kammer","00s","Jan 29, 1984","Dresden, Germany",,,"P   671197",,"1"
"0ifexqe5ldae","2nd","Janis Ian","60s-00s","Apr 7, 1951","New York, NY",,,"P     4537","Janis Eddy Fink","1"
"0ifexqe5ldke","2nd","Gang of Four","70s-90s","1977","Leeds, England","1984",,"P     4337","NULL","0"
"0ifexqr5ldae","2nd","The Stone Roses","80s, 90s","1985","Manchester, England","Oct 1996",,"P     5537","NULL","0"
"0ifexqr5ldhe","1st","Tom Petty","70s-00s","Oct 20, 1950","Gainesville, FL",,,"P     5137",,"1"
"0ifexqw5ldte","3rd","Lloyd Cole","80s-00s","Jan 31, 1961","Buxton, England",,,"P     3937",,"1"
"0ifixqe5ld6e","3rd","The Dictators","70s, 80s, 00s","1974",,,,"P     4087","NULL","0"
"0ifixqe5ldfe","2nd","The Mekons","70s-00s","1976","Leeds, England",,,"P     4887","NULL","0"
"0ifixqe5ldke","3rd","Lesley Gore","60s, 70s, 00s","May 2, 1946","New York, NY",,,"P     4387",,"1"
"0ifixqr5ldae","2nd","T. Rex","60s, 70s","1967",,"1978",,"P     5587","NULL","0"
"0ifixqr5ldhe","2nd","Procol Harum","60s-00s","1967","London, England",,,"P     5187","NULL","0"
"0ifixqw5ldfe","3rd","The Chiffons","60s, 70s","1960","New York, NY [The Bronx]","1972",,"P     3887","NULL","0"
"0ifoxqe5ldke","1st","Grateful Dead","60s-90s","1965","San Francisco, CA","1995",,"P     4397","NULL","0"
"0ifoxqw5ldde","2nd","Jimmy Buffett","70s-00s","Dec 25, 1946","Pascagoula, MS",,,"P     3797",,"1"
"0ifpxqe5ldje","2nd","Eurythmics","80s, 90s","1980","London, England","1990",,"P     4207","NULL","0"
"0ifpxqr5ld0e","2nd","Del Shannon","60s-80s","Dec 30, 1934","Grand Rapids, MI","Feb 8, 1990","Santa Clarita, CA","P     5407","Charles Westover","1"
"0ifpxqr5ldhe","3rd","Van Dyke Parks","60s-00s","Jan 3, 1941","Hattiesburg, MS",,,"P     5107",,"1"
"0ifpxqr5ldje","3rd","? & the Mysterians","60s, 90s, 00s","1962","Flint, MI",,,"P     5207","NULL","0"
"0ifpxqr5ldse","2nd","Tears for Fears","80s-00s","1981","Bath, Somerset, England",,,"P     5607","NULL","0"
"0ifpxqw5ldde","2nd","Blood, Sweat & Tears","60s-80s","1967","New York, NY",,,"P     3707","NULL","0"
"0ifpxqw5ldse","3rd","Bad Company","70s-00s","1973","England",,,"P     3607","NULL","0"
"0ifqxqe5ldae","2nd","The Housemartins","80s","1984","Hull, England","Jun 1988",,"P     4517","NULL","0"
"0ifqxqe5ldde","2nd","The La's","80s-00s","1986",,,,"P     4717","NULL","0"
"0ifqxqe5ldhe","2nd","Donovan","60s-00s","May 10, 1946","Glasgow, Scotland",,,"P     4117","Donovan Phillip Leitch","1"
"0ifqxqe5ldje","2nd","The Fabulous Thunderbirds","70s-00s","1974","Austin, TX",,,"P     4217","NULL","0"
"0ifqxqe5ldse","1st","Elton John","60s-00s","Mar 25, 1947","Pinner, Middlesex, England",,,"P     4617","Reginald Dwight","1"
"0ifqxqr5ld0e","3rd","Michelle Shocked","80s-00s","Feb 24, 1962","Dallas, TX",,,"P     5417",,"1"
"0ifqxqr5ld6e","2nd","New Order","80s-00s","1980","Manchester, England",,,"P     5017","NULL","0"
"0ifqxqw5ldfe","3rd","J.J. Cale","70s-00s","Dec 5, 1938","Oklahoma City, OK",,,"P     3817",,"1"
"0ifqxqw5ldte","3rd","The Clean","80s-00s","1978",,,,"P     3917","NULL","0"
"0ifqxqygldse","2nd","Morrissey","80s-00s","May 22, 1959","Manchester, England",,,"P   107617","Steven Patrick Morrissey","1"
"0ifrxqe5ldhe","1st","Bob Dylan","60s-00s","May 24, 1941","Duluth, MN",,,"P     4147","Robert Allen Zimmerman","1"
