# pgid, follower, follower_pgid
"0pfpxql5ldke","Antony and the Johnsons",
"0pfpxql5ldke","Unicorn Jones",
"0pfpxql5ldke","The Gena Rowlands Band",
"0pfpxql5ldke","Misty Roses",
"0pfpxql5ldke","Paul Armfield",
"0pfpxql5ldke","Baustelle",
"0pfpxql5ldke","Tenebrous Mitchell",
"0xfqxqegldde","Moe Loughran",
"0xfqxqegldde","Rachel Farris",
"0xfqxqegldde","Devon",
"0xfqxqegldde","Porfolio",
"0xfqxqegldde","Alih Jey",
"0xfqxqegldde","Alexandra Slate",
"0xfqxqegldde","Fefe Dobson",
"0xfqxqegldde","Maria Mena",
"0xfqxqegldde","Ashlee Simpson",
"0xfqxqegldde","Bel+¬n Arjona",
"0xfqxqegldde","Serena Ryder",
"0xfqxqegldde","Karmina",
"0xfqxqegldde","LT",
"0xfqxqegldde","Natascha Sohl",
"0xfqxqegldde","Lynne Timmes",
"0xfqxqegldde","Yui",
"0xfqxqegldde","Noush Skaugen",
"0xfqxqegldde","Jonna Tervomaa",
"0xfqxqegldde","Krista",
"0zfoxqwgldde","Dave Alvin",
"0zfoxqwgldde","The Blasters","wifoxqw5ldse"
"0zfoxqwgldde","Los Lobos","wjfexq85ld6e"
"0zfoxqwgldde","Chan Romero",
"0zfoxqwgldde","Minstrels",
"0zfoxqwgldde","Fernando",
"0zfoxqwgldde","Clorox Girls",
"0zfoxqwgldde","Deer Tick",
"0zfoxqwgldde","Souvenir Satellite",
"3ifexq95ldae","Louise Taylor",
"3ifexq95ldae","Mark Erelli",
"3ifexqe5ldte","Heart","gifyxqe5ld0e"
"3ifexqe5ldte","Indigo Girls","gifrxqe5ldae"
"3ifexqe5ldte","Craig Nuttycombe",
"3ifexqe5ldte","Tori Amos","3pfrxqq5ld6e"
"3ifexqe5ldte","Ani DiFranco","gzfixqu5ldke"
"3ifexqe5ldte","Kate McGarry",
"3ifexqe5ldte","Kirtana",
"3ifexqe5ldte","Professor and Maryann",
"3ifexqe5ldte","Emily Sparks",
"3ifexqe5ldte","Gary Jules",
"3ifexqe5ldte","Shannon Wright",
"3ifexqe5ldte","Ami Bryant",
"3ifexqe5ldte","Cheryl Cloud",
"3ifexqe5ldte","Audra Kubat",
"3ifexqe5ldte","Silver Nightingale",
"3ifexqe5ldte","Thea Gilmore",
"3ifexqe5ldte","Kathryn Williams",
"3ifexqe5ldte","Jolynn Daniel",
"3ifexqe5ldte","Chiara Civello",
"3ifexqe5ldte","Leslie Clemmons",
"3ifexqr5ld0e","Jann Arden",
"3ifexqr5ld0e","Halcyon",
"3ifexqr5ld0e","Sarah Shannon",
"3ifexqr5ld0e","Orange Cake Mix",
"3ifexqr5ld0e","Alice Project",
"3ifexqr5ld0e","Brooke White",
"3ifexqr5ldae","Alfie",
"3ifexqr5ldae","Allen Clapp",
"3ifixqe5ldae","Rosie Flores",
"3ifixqe5ldae","Michelle Wright",
"3ifixqe5ldae","Dawn Sears",
"3ifixqe5ldae","Tanya Tucker",
"3ifixqe5ldae","Chely Wright",
"3ifixqe5ldae","Kim Lenz",
"3ifixqe5ldae","Clarice Rose",
"3ifixqe5ldae","Miss Lauren Marie",
"3ifixqr5ldfe","Luna",
"3ifixqr5ldfe","Ivor Cutler",
"3ifixqr5ldfe","Damon & Naomi",
"3ifixqr5ldfe","Jovanotti",
"3ifixqr5ldfe","Mark Hollis",
"3ifixqr5ldfe","Gorky's Zygotic Mynci",
"3ifixqr5ldfe","Richard Youngs",
"3ifixqr5ldfe","Summer Hymns",
"3ifixqr5ldfe","Synthetic Block",
"3ifixqr5ldfe","Drowsy",
"3ifixqr5ldfe","Syd Matters",
"3ifixqr5ldfe","Falter Bramnk",
"3ifixqr5ldfe","CLAN",
"3ifpxqe5ldhe","The Crests",
"3ifpxqe5ldhe","The Duprees",
"3ifpxqe5ldhe","The Mystics",
"3ifpxqe5ldhe","Marty Wilde",
"3ifqxqw5ldte","Fraser & deBolt",
"3ifqxqw5ldte","Jake Holmes",
"3ifqxqw5ldte","Mason Proffit",
"3ifqxqw5ldte","Jay Farrar",
"3ifqxqw5ldte","Harrod & Funck",
"3ifqxqw5ldte","Chamber Strings",
"3ifqxqw5ldte","The Ghost Rockets",
"3ifqxqw5ldte","Mellow Drunk",
"3ifqxqw5ldte","I See Hawks in L.A.",
"3ifqxqw5ldte","Paul Quinn",
"3ifqxqw5ldte","The Primary 5",
"3ifrxqr5ldke","Ian Hunter","aifwxqe5ldae"
"3ifrxqr5ldke","Esteban Steve Jordan",
"3ifrxqr5ldke","Joe """"King"""" Carrasco",
"3ifrxqr5ldke","Jay Farrar",
"3iftxqr5ldde","Leo Sayer",
"3iftxqw5ldse","Tommy Bolin",
"3iftxqw5ldse","Jeff Healey",
"3iftxqw5ldse","Living Colour",
"3iftxqw5ldse","Lynyrd Skynyrd","fifqxqe5ldfe"
"3iftxqw5ldse","Gary Moore",
"3iftxqw5ldse","Steve Morse",
"3iftxqw5ldse","Ted Nugent","0ifrxqr5ld6e"
"3iftxqw5ldse","Joe Perry",
"3iftxqw5ldse","Joe Satriani","hiftxqr5ldke"
"3iftxqw5ldse","Mick Taylor",
"3iftxqw5ldse","Bedlam",
"3iftxqw5ldse","Eddie Hazel",
"3iftxqw5ldse","Mick Ronson",
"3iftxqw5ldse","Sir Lord Baltimore",
"3iftxqw5ldse",".38 Special",
"3iftxqw5ldse","Raimundo Amador",
"3iftxqw5ldse","Alan Murphy",
"3iftxqw5ldse","Mark Newman",
"3iftxqw5ldse","Randy Rhoads",
"09foxqy5ldke","The Osmonds",
"09ftxqw5ldke","Jimmy Edward",
"09ftxqw5ldke","Jurgen Drews",
"09ftxqw5ldke","Jack Lukeman",
"09ftxqw5ldke","Nestor Salgado",
"09ftxqw5ldke","The Dino Martinis",
"09ftxqw5ldke","Tommy Fleming",
"09ftxqw5ldke","Mario Biondi",
"0ifexqe5ldae","Indigo Girls","gifrxqe5ldae"
"0ifexqe5ldae","Marti Jones",
"0ifexqe5ldae","Teena Marie",
"0ifexqe5ldae","Jake Holmes",
"0ifexqe5ldae","Harrod & Funck",
"0ifexqe5ldae","SONiA",
"0ifexqe5ldae","Jenny Bird",
"0ifexqe5ldae","The Painted iD",
"0ifexqe5ldae","E Rick Rinaldi",
"0ifexqr5ldhe","Bryan Adams",
"0ifexqr5ldhe","Lone Justice",
"0ifexqr5ldhe","Material Issue",
"0ifexqr5ldhe","Waxing Poetics",
"0ifexqr5ldhe","The Wallflowers",
