# pgid, influencer_artist, influencer_pgid, influencer_genre
"09fexqtgld0e","Patti Smith","jpfixqtgld0e","Rock"
"09fexqtgld0e","The Velvet Underground","giftxqr5ldde","Rock"
"09fexqtgld0e","T. Rex","0ifixqr5ldae","Rock"
"09fexqtgld0e","The Soft Boys","fifuxqr5ld0e","Rock"
"09fexqtgld0e","The Sex Pistols","kifoxqr5ldke","Rock"
"09fexqtgld0e","The Rolling Stones","aifoxqr5ldje","Rock"
"09fexqtgld0e","Iggy Pop","0ifyxqr5ldhe","Rock"
"09fexqtgld0e","Gram Parsons","wifpxqr5ldhe","Rock"
"09fexqtgld0e","New York Dolls","wifqxqr5ld6e","Rock"
"09fexqtgld0e","Led Zeppelin","wifexqe5ldde","Rock"
"09fexqtgld0e","The Flying Burrito Brothers","hifixqe5ldje","Rock"
"09fexqtgld0e","Creedence Clearwater Revival","jifixqw5ldte","Rock"
"09fexqtgld0e","The Clash","gifqxqw5ldte","Rock"
"09fexqtgld0e","The Byrds","3ifqxqw5ldfe","Rock"
"09fexqtgld0e","Big Star","kifuxqw5ldse","Rock"
"09fexqtgld0e","The Beatles","hifrxqw5ldse","Rock"
"09fexqtgld0e","The Beach Boys","3ifrxqw5ldse","Rock"
"09fexqtgld0e","Wire","kiftxqr5ldfe","Rock"
"09fixqe5ldje","Sonic Youth","hifuxqr5ld0e","Rock"
"09fixqe5ldje","Wire","kiftxqr5ldfe","Rock"
"09fixqe5ldje","John Fahey","0zfqxqy5ldte","Folk"
"09foxqe5ldse","Thin Lizzy","gifexqr5ldse","Rock"
"09foxqe5ldse","Prince","fifixqr5ldhe","Rock"
"09foxqe5ldse","The Spinners","wifoxqr5ld0e","R&B"
"09foxqe5ldse","Queen","jifpxqr5ldje","Rock"
"09foxqe5ldse","Pink Floyd","wbfyxqt5ldse","Rock"
"09foxqe5ldse","Beastie Boys","3ifqxq95ld6e","Rap"
"09foxqe5ldse","Motörhead","jifyxqe5ldte","Rock"
"09foxqe5ldse","Talking Heads","hifoxqr5ldae","Rock"
"09foxqe5ldse","Bob Seger","gpfoxqwgldke","Rock"
"09foxqe5ldse","America","aifexqw5ldae","Rock"
"09foxqe5ldse","Bruce Springsteen","jifpxqr5ldae","Rock"
"09fqxqe5ldde","The Cramps","aifuxqw5ldte","Rock"
"09fqxqe5ldde","Black Sabbath","gifoxqw5ldse","Rock"
"09fqxqe5ldde","Plasmatics",,"Rock"
"09fqxqe5ldde","Twisted Sister",,"Rock"
"09fqxqe5ldde","Iron Maiden","3ifyxqe5ldae","Rock"
"09fqxqe5ldde","Mötley Crüe","hifyxqe5ldte","Rock"
"09fqxqe5ldde","Alice Cooper","fifyxqw5ldte","Rock"
"09fqxqe5ldde","Metallica","kifpxqe5ldte","Rock"
"09fqxqe5ldde","Kiss","fifoxqe5ldse","Rock"
"09fyxqw5ldse","The Velvet Underground","giftxqr5ldde","Rock"
"09fyxqw5ldse","Sonic Youth","hifuxqr5ld0e","Rock"
"09fyxqw5ldse","Syd Barrett","difexqw5ldse","Rock"
"0ifexqe5ldke","The Sex Pistols","kifoxqr5ldke","Rock"
"0ifexqe5ldke","Free","aifpxqe5ldke","Rock"
"0ifexqe5ldke","Dr. Feelgood","0ifwxqe5ldhe","Rock"
"0ifexqe5ldke","Television","fifqxqr5ldse","Rock"
