# pgid, market
"09fexqtgld0e","American Underground"
"09fexqtgld0e","Alternative Pop/ Rock"
"09fexqtgld0e","Jangle Pop"
"09fexqtgld0e","College Rock"
"09fexqtgld0e","Adult Alternative Pop/ Rock"
"09fexqtgld0e","Pop/Rock"
"09fixqe5ldje","American Underground"
"09fixqe5ldje","Instrumental Rock"
"09fixqe5ldje","Alternative Pop/ Rock"
"09fixqe5ldje","Post-Rock/ Experimental"
"09fixqe5ldje","Indie Rock"
"09fixqe5ldje","Experimental Rock"
"09fixqe5ldje","Math Rock"
"09foxqe5ldse","Alternative Pop/ Rock"
"09foxqe5ldse","Indie Rock"
"09foxqe5ldse","Comedy Rock"
"09foxqe5ldse","Lo-Fi"
"09fqxqe5ldde","Hard Rock"
"09fqxqe5ldde","Alternative Pop/ Rock"
"09fqxqe5ldde","Alternative Metal"
"09fqxqe5ldde","Heavy Metal"
"09fyxqw5ldse","Alternative Pop/ Rock"
"09fyxqw5ldse","Indie Rock"
"09fyxqw5ldse","Neo-Psychedelia"
"09fyxqw5ldse","Dream Pop"
"09fyxqw5ldse","Noise Pop"
"0ifexqe5ldke","Alternative Pop/ Rock"
"0ifexqe5ldke","New Wave"
"0ifexqe5ldke","Post-Punk"
"0ifexqe5ldke","Dance-Rock"
"0ifexqe5ldke","College Rock"
"0ifexqr5ldae","Alternative Pop/ Rock"
"0ifexqr5ldae","Britpop"
"0ifexqr5ldae","Alternative Dance"
"0ifexqr5ldae","Madchester"
"0ifexqr5ldae","Dance-Rock"
"0ifexqr5ldae","College Rock"
"0ifexqr5ldae","British Trad Rock"
"0ifexqr5ldae","Dream Pop"
"0ifixqe5ld6e","Hard Rock"
"0ifixqe5ld6e","Proto-Punk"
"0ifixqe5ld6e","New York Punk"
"0ifixqe5ld6e","American Punk"
"0ifixqe5ldfe","Alternative Pop/ Rock"
"0ifixqe5ldfe","Post-Punk"
"0ifixqe5ldfe","College Rock"
"0ifixqe5ldfe","Punk"
"0ifixqr5ldae","Rock & Roll"
"0ifixqr5ldae","Hard Rock"
"0ifixqr5ldae","Glam Rock"
"0ifixqr5ldae","Proto-Punk"
"0ifixqr5ldae","Album Rock"
"0ifixqr5ldae","Pop/Rock"
"0ifixqr5ldhe","Prog-Rock/ Art Rock"
"0ifixqr5ldhe","Psychedelic"
"0ifixqr5ldhe","British Psychedelia"
"0ifixqr5ldhe","Pop"
"0ifixqr5ldhe","Jazz-Rock"
"0ifixqw5ldfe","Girl Group"
"0ifixqw5ldfe","Brill Building Pop"
"0ifixqw5ldfe","Pop"
"0ifoxqe5ldke","Jam Bands"
"0ifoxqe5ldke","Country-Rock"
"0ifoxqe5ldke","Psychedelic"
"0ifoxqe5ldke","Folk-Rock"
"0ifoxqe5ldke","Album Rock"
"0ifpxqe5ldje","Synth Pop"
"0ifpxqe5ldje","New Wave"
"0ifpxqe5ldje","Pop/Rock"
"0ifpxqe5ldje","Dance-Rock"
"0ifpxqr5ldje","Garage Rock"
"0ifpxqr5ldje","Frat Rock"
"0ifpxqr5ldje","Detroit Rock"
