# pgid, mood
"09foxqy5ldke","Amiable/ Good-Natured"
"09foxqy5ldke","Cheerful"
"09foxqy5ldke","Sentimental"
"09foxqy5ldke","Romantic"
"09foxqy5ldke","Sexual"
"09foxqy5ldke","Playful"
"09foxqy5ldke","Sweet"
"09foxqy5ldke","Innocent"
"09foxqy5ldke","Carefree"
"09foxqy5ldke","Confident"
"09ftxqw5ldke","Bravado"
"09ftxqw5ldke","Swaggering"
"09ftxqw5ldke","Fun"
"09ftxqw5ldke","Elegant"
"09ftxqw5ldke","Sophisticated"
"09ftxqw5ldke","Confident"
"09ftxqw5ldke","Sexy"
"09ftxqw5ldke","Stylish"
"09ftxqw5ldke","Energetic"
"09ftxqw5ldke","Rousing"
"09ftxqw5ldke","Romantic"
"09ftxqw5ldke","Playful"
"09ftxqw5ldke","Sexual"
"09ftxqw5ldke","Theatrical"
"09ftxqw5ldke","Exuberant"
"09ftxqw5ldke","Boisterous"
"09ftxqw5ldke","Yearning"
"09ftxqw5ldke","Sentimental"
"09ftxqw5ldke","Refined/ Mannered"
"09ftxqw5ldke","Dramatic"
"09ftxqw5ldke","Campy"
"0bfoxqlaldhe","Sardonic"
"0bfoxqlaldhe","Nostalgic"
"0bfoxqlaldhe","Wistful"
"0bfoxqlaldhe","Wintry"
"0bfoxqlaldhe","Reserved"
"0bfoxqlaldhe","Reflective"
"0bfoxqlaldhe","Poignant"
"0bfoxqlaldhe","Literate"
"0bfoxqlaldhe","Ironic"
"0bfoxqlaldhe","Intimate"
"0bfoxqlaldhe","Gloomy"
"0bfoxqlaldhe","Detached"
"0bfoxqlaldhe","Complex"
"0bfoxqlaldhe","Bleak"
"0bfoxqlaldhe","Laid-Back/ Mellow"
"0bfoxqlaldhe","Bittersweet"
"0bfoxqlaldhe","Melancholy"
"0bfoxqlaldhe","Brooding"
"0ifexqe5ldae","Earnest"
"0ifexqe5ldae","Literate"
"0ifexqe5ldae","Plaintive"
"0ifexqe5ldae","Cathartic"
"0ifexqe5ldae","Reflective"
"0ifexqe5ldae","Poignant"
"0ifexqe5ldae","Organic"
"0ifexqe5ldae","Sentimental"
"0ifexqe5ldae","Melancholy"
"0ifexqe5ldae","Intimate"
"0ifexqe5ldae","Autumnal"
"0ifexqe5ldae","Bittersweet"
"0ifexqe5ldae","Yearning"
"0ifexqe5ldae","Delicate"
"0ifexqe5ldae","Wistful"
"0ifexqe5ldae","Sad"
"0ifexqr5ldhe","Rousing"
"0ifexqr5ldhe","Wry"
"0ifexqr5ldhe","Earthy"
"0ifexqr5ldhe","Organic"
"0ifexqr5ldhe","Energetic"
"0ifexqr5ldhe","Cynical/ Sarcastic"
"0ifexqr5ldhe","Rollicking"
"0ifexqr5ldhe","Fun"
"0ifexqr5ldhe","Self-Conscious"
"0ifexqr5ldhe","Playful"
"0ifexqr5ldhe","Rowdy"
"0ifexqr5ldhe","Earnest"
"0ifexqr5ldhe","Amiable/ Good-Natured"
"0ifexqr5ldhe","Rebellious"
"0ifexqr5ldhe","Melancholy"
"0ifexqr5ldhe","Party/ Celebratory"
"0ifexqr5ldhe","Literate"
"0ifexqr5ldhe","Humorous"
"0ifexqr5ldhe","Refined/ Mannered"
"0ifexqr5ldhe","Clinical"
"0ifexqw5ldte","Melancholy"
"0ifexqw5ldte","Sophisticated"
"0ifexqw5ldte","Literate"
"0ifexqw5ldte","Witty"
