# pgid, year, single, chart, peak
"09fexqtgld0e","1983"," Radio Free Europe","Mainstream Rock","25"
"09fexqtgld0e","1983"," Radio Free Europe","Pop Singles","78"
"09fexqtgld0e","1984"," South Central Rain (I m Sorry)","The Billboard Hot 100","85"
"09fexqtgld0e","1985"," Can't Get There from Here","Mainstream Rock Tracks","14"
"09fexqtgld0e","1985"," Driver 8","Mainstream Rock Tracks","22"
"09fexqtgld0e","1986"," Fall on Me","Mainstream Rock Tracks","5"
"09fexqtgld0e","1986"," Fall on Me","The Billboard Hot 100","94"
"09fexqtgld0e","1986"," Superman","Mainstream Rock Tracks","17"
"09fexqtgld0e","1987"," Ages of You","Mainstream Rock Tracks","39"
"09fexqtgld0e","1987"," It's the End of the World as We Know It (And I Feel Fine)","Mainstream Rock Tracks","16"
"09fexqtgld0e","1987"," It's the End of the World as We Know It (And I Feel Fine)","Mainstream Rock Tracks","16"
"09fexqtgld0e","1987"," It's the End of the World as We Know It (And I Feel Fine)","Mainstream Rock Tracks","16"
"09fexqtgld0e","1987","The One I Love","Mainstream Rock Tracks","2"
"09fexqtgld0e","1987","The One I Love","The Billboard Hot 100","9"
"09fexqtgld0e","1987","The One I Love","The Billboard Hot 100","9"
"09fexqtgld0e","1988"," Finest Worksong","Mainstream Rock Tracks","28"
"09fexqtgld0e","1988"," It's the End of the World as We Know It (And I Feel Fine)","The Billboard Hot 100","69"
"09fexqtgld0e","1988"," It's the End of the World as We Know It (And I Feel Fine)","The Billboard Hot 100","69"
"09fexqtgld0e","1988"," Orange Crush","Mainstream Rock Tracks","1"
"09fexqtgld0e","1988"," Orange Crush","Mainstream Rock Tracks","1"
"09fexqtgld0e","1988"," Orange Crush","Modern Rock Tracks","1"
"09fexqtgld0e","1988"," Orange Crush","Modern Rock Tracks","1"
"09fexqtgld0e","1988"," Pop Song 89","Modern Rock Tracks","16"
"09fexqtgld0e","1988"," Pop Song 89","Modern Rock Tracks","16"
"09fexqtgld0e","1988"," Stand","Mainstream Rock Tracks","1"
"09fexqtgld0e","1988"," Stand","Mainstream Rock Tracks","1"
"09fexqtgld0e","1988"," Stand","Modern Rock Tracks","1"
"09fexqtgld0e","1988"," Stand","Modern Rock Tracks","1"
"09fexqtgld0e","1989"," Pop Song 89","Mainstream Rock Tracks","14"
"09fexqtgld0e","1989"," Pop Song 89","The Billboard Hot 100","86"
"09fexqtgld0e","1989"," Stand","The Billboard Hot 100","6"
"09fexqtgld0e","1989"," Turn You Inside-Out","Mainstream Rock Tracks","7"
"09fexqtgld0e","1989"," Turn You Inside-Out","Modern Rock Tracks","10"
"09fexqtgld0e","1991"," Losing My Religion","Adult Contemporary","28"
"09fexqtgld0e","1991"," Losing My Religion","Mainstream Rock Tracks","1"
"09fexqtgld0e","1991"," Losing My Religion","Modern Rock Tracks","1"
"09fexqtgld0e","1991"," Losing My Religion","The Billboard Hot 100","4"
"09fexqtgld0e","1991"," Shiny Happy People","Mainstream Rock Tracks","8"
"09fexqtgld0e","1991"," Shiny Happy People","Modern Rock Tracks","3"
"09fexqtgld0e","1991"," Shiny Happy People","The Billboard Hot 100","10"
"09fexqtgld0e","1991"," Texarkana","Mainstream Rock Tracks","7"
"09fexqtgld0e","1991"," Texarkana","Modern Rock Tracks","4"
"09fexqtgld0e","1992"," Drive","Mainstream Rock Tracks","2"
"09fexqtgld0e","1992"," Drive","Mainstream Rock Tracks","2"
"09fexqtgld0e","1992"," Drive","Modern Rock Tracks","1"
"09fexqtgld0e","1992"," Drive","The Billboard Hot 100","28"
"09fexqtgld0e","1992"," Drive","The Billboard Hot 100","28"
"09fexqtgld0e","1992"," Drive","Top 40 Mainstream","23"
"09fexqtgld0e","1992"," Drive","Top 40 Mainstream","23"
"09fexqtgld0e","1992"," First We Take Manhattan","Modern Rock Tracks","11"
"09fexqtgld0e","1992"," Ignoreland","Mainstream Rock Tracks","4"
"09fexqtgld0e","1992"," Ignoreland","Mainstream Rock Tracks","4"
"09fexqtgld0e","1992"," Ignoreland","Modern Rock Tracks","5"
"09fexqtgld0e","1992"," Ignoreland","Modern Rock Tracks","5"
"09fexqtgld0e","1993"," Everybody Hurts","Modern Rock Tracks","21"
"09fexqtgld0e","1993"," Everybody Hurts","The Billboard Hot 100","29"
"09fexqtgld0e","1993"," Everybody Hurts","The Billboard Hot 100","29"
"09fexqtgld0e","1993"," Everybody Hurts","Top 40 Mainstream","13"
"09fexqtgld0e","1993"," Man on the Moon","Mainstream Rock Tracks","4"
"09fexqtgld0e","1993"," Man on the Moon","Modern Rock Tracks","2"
"09fexqtgld0e","1993"," Man on the Moon","The Billboard Hot 100","30"
"09fexqtgld0e","1993"," Man on the Moon","Top 40 Mainstream","9"
"09fexqtgld0e","1993"," Photograph","Modern Rock Tracks","9"
"09fexqtgld0e","1993"," Photograph","Modern Rock Tracks","9"
"09fexqtgld0e","1993","The Sidewinder Sleeps Tonite","Mainstream Rock Tracks","28"
"09fexqtgld0e","1993","The Sidewinder Sleeps Tonite","Modern Rock Tracks","24"
"09fexqtgld0e","1994"," Bang and Blame","Mainstream Rock Tracks","3"
"09fexqtgld0e","1994"," Bang and Blame","Mainstream Rock Tracks","3"
"09fexqtgld0e","1994"," Bang and Blame","Modern Rock Tracks","1"
"09fexqtgld0e","1994"," Bang and Blame","Modern Rock Tracks","1"
"09fexqtgld0e","1994"," What's the Frequency, Kenneth?","Hot Dance Music/Maxi-Singles Sales","24"
"09fexqtgld0e","1994"," What's the Frequency, Kenneth?","Mainstream Rock Tracks","2"
"09fexqtgld0e","1994"," What's the Frequency, Kenneth?","Modern Rock Tracks","1"
"09fexqtgld0e","1994"," What's the Frequency, Kenneth?","The Billboard Hot 100","21"
"09fexqtgld0e","1994"," What's the Frequency, Kenneth?","Top 40 Mainstream","10"
"09fexqtgld0e","1995"," Bang and Blame","The Billboard Hot 100","19"
"09fexqtgld0e","1995"," Bang and Blame","Top 40 Mainstream","13"
"09fexqtgld0e","1995"," Crush With Eyeliner","Mainstream Rock Tracks","20"
"09fexqtgld0e","1995"," Crush With Eyeliner","Modern Rock Tracks","33"
"09fexqtgld0e","1995"," Star 69","Mainstream Rock Tracks","15"
"09fexqtgld0e","1995"," Star 69","Modern Rock Tracks","8"
"09fexqtgld0e","1995"," Strange Currencies","Mainstream Rock Tracks","8"
"09fexqtgld0e","1995"," Strange Currencies","Modern Rock Tracks","14"
"09fexqtgld0e","1995"," Strange Currencies","The Billboard Hot 100","47"
"09fexqtgld0e","1995"," Strange Currencies","Top 40 Mainstream","30"
"09fexqtgld0e","1995"," What's the Frequency, Kenneth?","Mainstream Rock Tracks","2"
"09fexqtgld0e","1995"," What's the Frequency, Kenneth?","Modern Rock Tracks","1"
"09fexqtgld0e","1995"," What's the Frequency, Kenneth?","The Billboard Hot 100","21"
"09fexqtgld0e","1995"," What's the Frequency, Kenneth?","Top 40 Mainstream","10"
"09fexqtgld0e","1996"," Bittersweet Me","Mainstream Rock Tracks","7"
"09fexqtgld0e","1996"," Bittersweet Me","Mainstream Rock Tracks","7"
"09fexqtgld0e","1996"," Bittersweet Me","Modern Rock Tracks","6"
"09fexqtgld0e","1996"," Bittersweet Me","Modern Rock Tracks","6"
"09fexqtgld0e","1996"," Bittersweet Me","The Billboard Hot 100","46"
"09fexqtgld0e","1996"," Bittersweet Me","The Billboard Hot 100","46"
"09fexqtgld0e","1996"," Bittersweet Me","Top 40 Mainstream","28"
"09fexqtgld0e","1996"," E-Bow the Letter","Hot Dance Music/Maxi-Singles Sales","39"
"09fexqtgld0e","1996"," E-Bow the Letter","Mainstream Rock Tracks","15"
"09fexqtgld0e","1996"," E-Bow the Letter","Modern Rock Tracks","2"
"09fexqtgld0e","1996"," E-Bow the Letter","The Billboard Hot 100","49"
"09fexqtgld0e","1997"," Electrolite","The Billboard Hot 100","96"
"09fexqtgld0e","1997","The Wake-Up Bomb","Mainstream Rock Tracks","30"
"09fexqtgld0e","1998"," Daysleeper","Adult Top 40","33"
"09fexqtgld0e","1998"," Daysleeper","Mainstream Rock Tracks","30"
"09fexqtgld0e","1998"," Daysleeper","Modern Rock Tracks","18"
"09fexqtgld0e","1998"," Daysleeper","The Billboard Hot 100","57"
"09fexqtgld0e","1999"," Lotus","Mainstream Rock Tracks","31"
"09fexqtgld0e","1999"," Lotus","Modern Rock Tracks","31"
"09fexqtgld0e","1999","The Great Beyond","Adult Top 40","13"
"09fexqtgld0e","1999","The Great Beyond","Adult Top 40","13"
"09fexqtgld0e","1999","The Great Beyond","Mainstream Rock Tracks","33"
"09fexqtgld0e","1999","The Great Beyond","Mainstream Rock Tracks","33"
"09fexqtgld0e","1999","The Great Beyond","Modern Rock Tracks","11"
"09fexqtgld0e","1999","The Great Beyond","Modern Rock Tracks","11"
"09fexqtgld0e","1999","The Great Beyond","The Billboard Hot 100","57"
"09fexqtgld0e","1999","The Great Beyond","The Billboard Hot 100","57"
"09fexqtgld0e","2001"," Imitation of Life","Adult Top 40","15"
"09fexqtgld0e","2001"," Imitation of Life","Canadian Singles Chart","5"
"09fexqtgld0e","2001"," Imitation of Life","Modern Rock Tracks","22"
"09fexqtgld0e","2001"," Imitation of Life","The Billboard Hot 100","83"
"09fexqtgld0e","2003"," Bad Day","Canadian Singles Chart","17"
"09fexqtgld0e","2005"," Wanderlust","European Hot 100 Singles","0"
"09fexqtgld0e","2007"," #9 Dream","Pop 100","85"
"09fexqtgld0e","2008"," Supernatural Supererious","European Hot 100 Singles","0"
"09fexqtgld0e","2008"," Supernatural Superserious","European Hot 100 Singles","0"
"09fexqtgld0e","2008"," Supernatural Superserious","Hot Canadian Digital Singles","48"
