# market, Count, MinOfyear, MaxOfyear
"Aboriginal Rock",5,"1987","1997"
"Acid Jazz",73,"1987","2001"
"Acid Rock",16,"1968","2003"
"Adult Alternative Pop/Rock",184,"1984","2005"
"Adult Contemporary",183,"1974","2007"
"Album Rock",638,"1966","2008"
"Alternative Country-Rock",71,"1985","2003"
"Alternative Dance",99,"1983","2005"
"Alternative Folk",32,"1985","2006"
"Alternative Metal",156,"1987","2006"
"Alternative Pop/Rock",678,"1979","2007"
"Alternative Singer/Songwriter",3,"1997","2005"
"AM Pop",28,"1969","2001"
"Ambient Pop",24,"1992","2008"
"American Punk",56,"1975","2006"
"American Trad Rock",61,"1986","2004"
"American Underground",134,"1979","2005"
"Anarchist Punk",10,"1980","2005"
"Arena Rock",52,"1973","2006"
"Asian Pop",2,"2000","2000"
"Aussie Rock",37,"1976","2007"
"Avant-Prog",43,"1978","2001"
"Bar Band",27,"1976","2006"
"Baroque Pop",35,"1966","2005"
"Blues-Rock",199,"1964","2008"
"Boogie Rock",43,"1969","2006"
"Brill Building Pop",37,"1960","2005"
"British Blues",51,"1962","2008"
"British Folk-Rock",68,"1963","2008"
"British Invasion",125,"1963","2008"
"British Metal",67,"1969","2006"
"British Psychedelia",66,"1966","2007"
"British Trad Rock",34,"1992","2002"
"Britpop",133,"1989","2006"
"Bubblegum",69,"1966","2006"
"C-86",9,"1986","2000"
"Canterbury Scene",30,"1968","2003"
"Celebrity",15,"1967","2005"
"Chamber Pop",27,"1993","2004"
"Christian Metal",14,"1985","2008"
"Christian Punk",11,"1996","2000"
"Christian Rock",37,"1972","2001"
"Club/Dance",205,"1981","2008"
"Cocktail",12,"1959","1998"
"College Rock",279,"1976","2007"
"Comedy Rock",36,"1966","2001"
"Country-Rock",119,"1966","2007"
"Cowpunk",12,"1984","2000"
"Dance-Pop",164,"1979","2006"
"Death Metal/Black Metal",168,"1982","2008"
"Detroit Rock",52,"1966","2006"
"Disco",177,"1972","2006"
"Doom Metal",51,"1984","2006"
"Dream Pop",133,"1982","2005"
"Early British Pop/Rock",6,"1959","1997"
"Electro-Industrial",21,"1988","2005"
"Emo",43,"1991","2001"
"Euro-Dance",25,"1976","2007"
"Euro-Pop",25,"1970","2003"
"Euro-Rock",6,"1994","2000"
"Experimental Rock",187,"1966","2007"
"Folk-Pop",45,"1959","2006"
"Folk-Rock",189,"1964","2008"
"Foreign Language Rock",10,"1968","1999"
"Frat Rock",26,"1963","2005"
"Freakbeat",12,"1965","2005"
"Freestyle",13,"1966","2000"
"French Pop",29,"1957","2005"
"French Rock",5,"1971","1998"
"Funk Metal",38,"1984","2001"
"Garage Punk",18,"1990","2000"
"Garage Rock",128,"1959","2007"
"Garage Rock Revival",21,"1979","2005"
"Garage/House",83,"1983","2002"
"Girl Group",96,"1962","2001"
"Glam Rock",51,"1970","2004"
"Glitter",9,"1973","2000"
"Goth Metal",29,"1982","2003"
"Goth Rock",83,"1980","2006"
"Grindcore",33,"1986","2004"
"Grunge",78,"1985","2000"
"Guitar Virtuoso",56,"1975","2002"
"Hair Metal",93,"1985","2006"
"Hard Rock",381,"1967","2008"
"Hardcore Punk",78,"1979","2005"
"Heartland Rock",46,"1975","2004"
