# market, Major_market
"Aboriginal Rock","Foreign Language Rock"
"Acid Jazz","Dance"
"Acid Rock","Psychedlic/Garage"
"Adult Alternative Pop/Rock","Punk/New Wave"
"Adult Contemporary","Soft Rock"
"Album Rock","Hard Rock"
"Alternative Country-Rock","Alternative/Indie-Rock"
"Alternative Dance","Alternative/Indie-Rock"
"Alternative Folk","Alternative/Indie-Rock"
"Alternative Metal","Hard Rock"
"Alternative Pop/Rock","Punk/New Wave"
"Alternative Singer/Songwriter","Alternative/Indie-Rock"
"AM Pop","Pop/Rock"
"Ambient Pop","Alternative/Indie-Rock"
"American Punk","Punk/New Wave"
"American Trad Rock","Rock & Roll/Roots"
"American Underground","Alternative/Indie-Rock"
"Anarchist Punk","Punk/New Wave"
"Arena Rock","Hard Rock"
"Asian Pop","Foreign Language Rock"
"Aussie Rock","Hard Rock"
"Avant-Prog","Art-Rock/Experimental"
"Bar Band","Rock & Roll/Roots"
"Baroque Pop","Pop/Rock"
"Blues-Rock","Rock & Roll/Roots"
"Boogie Rock","Hard Rock"
"Brill Building Pop","Pop/Rock"
"British Blues","British Invasion"
"British Folk-Rock","Folk/Country Rock"
"British Invasion","British Invasion"
"British Metal","Hard Rock"
"British Psychedelia","Psychedlic/Garage"
"British Trad Rock","Alternative/Indie-Rock"
"Britpop","Alternative/Indie-Rock"
"Bubblegum","Pop/Rock"
"C-86","Alternative/Indie-Rock"
"Canterbury Scene","Art-Rock/Experimental"
"Celebrity","Pop/Rock"
"Chamber Pop","Alternative/Indie-Rock"
"Christian Metal","Hard Rock"
"Christian Punk","Punk/New Wave"
"Christian Rock","Pop/Rock"
"Club/Dance","Dance"
"Cocktail","Alternative/Indie-Rock"
"College Rock","Alternative/Indie-Rock"
"Comedy Rock","Pop/Rock"
"Country-Rock","Folk/Country Rock"
"Cowpunk","Alternative/Indie-Rock"
"Dance-Pop","Dance"
"Death Metal/Black Metal","Hard Rock"
"Detroit Rock","Hard Rock"
"Disco","Dance"
"Doom Metal","Hard Rock"
"Dream Pop","Alternative/Indie-Rock"
"Early British Pop/Rock","British Invasion"
"Electro-Industrial","Alternative/Indie-Rock"
"Emo","Alternative/Indie-Rock"
"Euro-Dance","Dance"
"Euro-Pop","Europop"
"Euro-Rock","Europop"
"Experimental Rock","Art-Rock/Experimental"
"Folk-Pop","Folk/Country Rock"
"Folk-Rock","Folk/Country Rock"
"Foreign Language Rock","Foreign Language Rock"
"Frat Rock","Rock & Roll/Roots"
"Freakbeat","British Invasion"
"Freestyle","Dance"
"French Pop","Foreign Language Rock"
"French Rock","Foreign Language Rock"
"Funk Metal","Alternative/Indie-Rock"
"Garage Punk","Alternative/Indie-Rock"
"Garage Rock","Psychedlic/Garage"
"Garage Rock Revival","Punk/New Wave"
"Garage/House","Dance"
"Girl Group","Pop/Rock"
"Glam Rock","Hard Rock"
"Glitter","Hard Rock"
"Goth Metal","Hard Rock"
"Goth Rock","Alternative/Indie-Rock"
"Grindcore","Hard Rock"
"Grunge","Alternative/Indie-Rock"
"Guitar Virtuoso","Hard Rock"
"Hair Metal","Hard Rock"
"Hard Rock","Hard Rock"
"Hardcore Punk","Punk/New Wave"
"Heartland Rock","Rock & Roll/Roots"
"Heavy Metal","Hard Rock"
"Hi-NRG","Dance"
"Hong Kong Pop","Foreign Language Rock"
"Hot Rod","Rock & Roll/Roots"
"Hot Rod Revival","Rock & Roll/Roots"
"House","Dance"
"Indie Electronic","Alternative/Indie-Rock"
"Indie Pop","Alternative/Indie-Rock"
"Indie Rock","Alternative/Indie-Rock"
"Industrial","Alternative/Indie-Rock"
"Industrial Dance","Alternative/Indie-Rock"
"Industrial Metal","Hard Rock"
"Instrumental Rock","Rock & Roll/Roots"
"Jam Bands","Rock & Roll/Roots"
